"","freq","age","statinfo","geo","TIME_PERIOD","values"
"1","A","TOTAL","GINI_HND","AL",2017,36.8
"2","A","TOTAL","GINI_HND","AL",2018,35.4
"3","A","TOTAL","GINI_HND","AL",2019,34.3
"4","A","TOTAL","GINI_HND","AL",2020,33.2
"5","A","TOTAL","GINI_HND","AL",2021,33
"6","A","TOTAL","GINI_HND","AT",2014,27.6
"7","A","TOTAL","GINI_HND","AT",2015,27.2
"8","A","TOTAL","GINI_HND","AT",2016,27.2
"9","A","TOTAL","GINI_HND","AT",2017,27.9
"10","A","TOTAL","GINI_HND","AT",2018,26.8
"11","A","TOTAL","GINI_HND","AT",2019,27.5
"12","A","TOTAL","GINI_HND","AT",2020,27
"13","A","TOTAL","GINI_HND","AT",2021,26.7
"14","A","TOTAL","GINI_HND","AT",2022,27.8
"15","A","TOTAL","GINI_HND","AT",2023,28.1
"16","A","TOTAL","GINI_HND","AT",2024,28.4
"17","A","TOTAL","GINI_HND","BE",2014,25.9
"18","A","TOTAL","GINI_HND","BE",2015,26.2
"19","A","TOTAL","GINI_HND","BE",2016,26.3
"20","A","TOTAL","GINI_HND","BE",2017,26.1
"21","A","TOTAL","GINI_HND","BE",2018,25.7
"22","A","TOTAL","GINI_HND","BE",2019,25.1
"23","A","TOTAL","GINI_HND","BE",2020,25.4
"24","A","TOTAL","GINI_HND","BE",2021,24.1
"25","A","TOTAL","GINI_HND","BE",2022,24.9
"26","A","TOTAL","GINI_HND","BE",2023,24.2
"27","A","TOTAL","GINI_HND","BE",2024,24.7
"28","A","TOTAL","GINI_HND","BG",2014,35.4
"29","A","TOTAL","GINI_HND","BG",2015,37
"30","A","TOTAL","GINI_HND","BG",2016,37.7
"31","A","TOTAL","GINI_HND","BG",2017,40.2
"32","A","TOTAL","GINI_HND","BG",2018,39.6
"33","A","TOTAL","GINI_HND","BG",2019,40.8
"34","A","TOTAL","GINI_HND","BG",2020,40
"35","A","TOTAL","GINI_HND","BG",2021,39.7
"36","A","TOTAL","GINI_HND","BG",2022,38.4
"37","A","TOTAL","GINI_HND","BG",2023,37.2
"38","A","TOTAL","GINI_HND","BG",2024,38.4
"39","A","TOTAL","GINI_HND","CH",2014,29.5
"40","A","TOTAL","GINI_HND","CH",2015,29.6
"41","A","TOTAL","GINI_HND","CH",2016,29.4
"42","A","TOTAL","GINI_HND","CH",2017,30.1
"43","A","TOTAL","GINI_HND","CH",2018,29.7
"44","A","TOTAL","GINI_HND","CH",2019,30.6
"45","A","TOTAL","GINI_HND","CH",2020,31.2
"46","A","TOTAL","GINI_HND","CH",2021,31.4
"47","A","TOTAL","GINI_HND","CH",2022,31.1
"48","A","TOTAL","GINI_HND","CH",2023,31.5
"49","A","TOTAL","GINI_HND","CY",2014,34.8
"50","A","TOTAL","GINI_HND","CY",2015,33.6
"51","A","TOTAL","GINI_HND","CY",2016,32.1
"52","A","TOTAL","GINI_HND","CY",2017,30.8
"53","A","TOTAL","GINI_HND","CY",2018,29.1
"54","A","TOTAL","GINI_HND","CY",2019,31.5
"55","A","TOTAL","GINI_HND","CY",2020,29.3
