country,quarter,top5share
AT,2010-Q4,50.17
AT,2011-Q1,50.07
AT,2011-Q2,50.3
AT,2011-Q3,49.83
AT,2011-Q4,49.95
AT,2012-Q1,49.78
AT,2012-Q2,49.78
AT,2012-Q3,50.01
AT,2012-Q4,50.25
AT,2013-Q1,50.18
AT,2013-Q2,50.02
AT,2013-Q3,50.04
AT,2013-Q4,50.67
AT,2014-Q1,50.33
AT,2014-Q2,50.14
AT,2014-Q3,50.12
AT,2014-Q4,50.29
AT,2015-Q1,50.56
AT,2015-Q2,50.71
AT,2015-Q3,50.75
AT,2015-Q4,50.96
AT,2016-Q1,51.03
AT,2016-Q2,51.18
AT,2016-Q3,51.49
AT,2016-Q4,51.72
AT,2017-Q1,52.01
AT,2017-Q2,51.87
AT,2017-Q3,52.03
AT,2017-Q4,52.65
AT,2018-Q1,52.4
AT,2018-Q2,52.38
AT,2018-Q3,52.39
AT,2018-Q4,52.42
AT,2019-Q1,52.47
AT,2019-Q2,52.4
AT,2019-Q3,52.41
AT,2019-Q4,52.29
AT,2020-Q1,51.81
AT,2020-Q2,51.82
AT,2020-Q3,51.68
AT,2020-Q4,52.19
AT,2021-Q1,52.18
AT,2021-Q2,52.19
AT,2021-Q3,52.26
AT,2021-Q4,52.58
AT,2022-Q1,52.29
AT,2022-Q2,51.84
AT,2022-Q3,51.76
AT,2022-Q4,52.06
AT,2023-Q1,52.29
AT,2023-Q2,52.39
AT,2023-Q3,52.39
AT,2023-Q4,52.6
AT,2024-Q1,52.77
AT,2024-Q2,52.88
AT,2024-Q3,53.02
AT,2024-Q4,53.04
AT,2025-Q1,53.13
BE,2010-Q3,49.24
BE,2010-Q4,49.42
BE,2011-Q1,49.32
BE,2011-Q2,49.26
BE,2011-Q3,48.81
BE,2011-Q4,49.16
BE,2012-Q1,49.23
BE,2012-Q2,48.93
BE,2012-Q3,48.72
BE,2012-Q4,48.55
BE,2013-Q1,48.61
BE,2013-Q2,48.18
BE,2013-Q3,48.04
BE,2013-Q4,48.13
BE,2014-Q1,48.14
BE,2014-Q2,48.27
BE,2014-Q3,47.99
BE,2014-Q4,48.36
BE,2015-Q1,48.69
BE,2015-Q2,48.48
